iteration,para_a,para_b,f_beta,TP,FP,FN,TN,precision,recall
62,0.000605680473372781,9,0.7800908904747167,97,203,0,0,0.3233333333333333,0.9253323078155518
63,0.000605680473372781,10,0.773045448513425,97,203,0,0,0.3233333333333333,0.9143491983413696
64,0.0007066272189349113,2,0.822213893185986,97,203,0,0,0.3233333333333333,0.9923367500305176
65,0.0007066272189349113,3,0.8211679761600744,97,203,0,0,0.3233333333333333,0.9906446933746338
66,0.0007066272189349113,4,0.8144305873865408,97,203,0,0,0.3233333333333333,0.9797801971435547
67,0.0007066272189349113,5,0.8075812799683751,97,203,0,0,0.3233333333333333,0.9687970876693726
68,0.0007066272189349113,6,0.8006931487096808,97,203,0,0,0.3233333333333333,0.95781409740448
69,0.0007066272189349113,7,0.7937657117691904,97,203,0,0,0.3233333333333333,0.9468309879302979
70,0.0007066272189349113,8,0.7867988592558268,97,203,0,0,0.3233333333333333,0.9358481168746948
71,0.0007066272189349113,9,0.7797921012762146,97,203,0,0,0.3233333333333333,0.9248652458190918
72,0.0007066272189349113,10,0.7727447871487748,97,203,0,0,0.3233333333333333,0.9138818979263306
73,0.0008075739644970414,2,0.8222096211702522,97,203,0,0,0.3233333333333333,0.9923298358917236
74,0.0008075739644970414,3,0.8209523281386686,97,203,0,0,0.3233333333333333,0.9902960062026978
75,0.0008075739644970414,4,0.8141400307003571,97,203,0,0,0.3233333333333333,0.9793130159378052
76,0.0008075739644970414,5,0.8072891499563696,97,203,0,0,0.3233333333333333,0.9683300256729126
77,0.0008075739644970414,6,0.8003993571851818,97,203,0,0,0.3233333333333333,0.95734703540802
78,0.0008075739644970414,7,0.7934701690766254,97,203,0,0,0.3233333333333333,0.9463638067245483
79,0.0008075739644970414,8,0.7865016260441818,97,203,0,0,0.3233333333333333,0.9353809356689453
80,0.0008075739644970414,9,0.779493010422071,97,203,0,0,0.3233333333333333,0.9243978261947632
81,0.0008075739644970414,10,0.7724442057449346,97,203,0,0,0.3233333333333333,0.9134148359298706
82,0.0009085207100591715,2,0.8222052754835425,97,203,0,0,0.3233333333333333,0.9923228025436401
83,0.0009085207100591715,3,0.8206633362066357,97,203,0,0,0.3233333333333333,0.9898288249969482
84,0.0009085207100591715,4,0.8138494042029086,97,203,0,0,0.3233333333333333,0.9788458347320557
85,0.0009085207100591715,5,0.8069968749863023,97,203,0,0,0.3233333333333333,0.9678628444671631
86,0.0009085207100591715,6,0.8001052696525611,97,203,0,0,0.3233333333333333,0.9568796157836914
87,0.0009085207100591715,7,0.7931745547680369,97,203,0,0,0.3233333333333333,0.9458966255187988
88,0.0009085207100591715,8,0.7862043206011273,97,203,0,0,0.3233333333333333,0.9349137544631958
89,0.0009085207100591715,9,0.7791939992539183,97,203,0,0,0.3233333333333333,0.9239306449890137
90,0.0009085207100591715,10,0.7721434741488789,97,203,0,0,0.3233333333333333,0.9129476547241211
91,0.0010094674556213018,2,0.8222010034372708,97,203,0,0,0.3233333333333333,0.9923158884048462
92,0.0010094674556213018,3,0.8203742750265505,97,203,0,0,0.3233333333333333,0.9893616437911987
93,0.0010094674556213018,4,0.8135587078690324,97,203,0,0,0.3233333333333333,0.9783786535263062
94,0.0010094674556213018,5,0.8067044549788184,97,203,0,0,0.3233333333333333,0.967395544052124
95,0.0010094674556213018,6,0.7998113361052598,97,203,0,0,0.3233333333333333,0.9564125537872314
96,0.0010094674556213018,7,0.7928788688173909,97,203,0,0,0.3233333333333333,0.9454294443130493
97,0.0010094674556213018,8,0.7859067911198468,97,203,0,0,0.3233333333333333,0.9344463348388672
98,0.0010094674556213018,9,0.7788949915309673,97,203,0,0,0.3233333333333333,0.9234635829925537
99,0.0010094674556213018,10,0.7718427458073185,97,203,0,0,0.3233333333333333,0.9124805927276611
100,0.001110414201183432,2,0.8221966577194967,97,203,0,0,0.3233333333333333,0.9923088550567627
101,0.001110414201183432,3,0.8200851445735203,97,203,0,0,0.3233333333333333,0.9888944625854492
102,0.001110414201183432,4,0.8132678674706587,97,203,0,0,0.3233333333333333,0.9779113531112671
103,0.001110414201183432,5,0.8064120391023321,97,203,0,0,0.3233333333333333,0.9669283628463745
104,0.001110414201183432,6,0.7995172564866116,97,203,0,0,0.3233333333333333,0.9559453725814819
105,0.001110414201183432,7,0.7925831866754082,97,203,0,0,0.3233333333333333,0.9449623823165894
106,0.001110414201183432,8,0.7856094170067576,97,203,0,0,0.3233333333333333,0.9339792728424072
107,0.001110414201183432,9,0.7785958345937403,97,203,0,0,0.3233333333333333,0.9229964017868042
108,0.001110414201183432,10,0.7715418671821533,97,203,0,0,0.3233333333333333,0.9120134115219116
109,0.001211360946745562,2,0.8221923856426868,97,203,0,0,0.3233333333333333,0.9923019409179688
110,0.001211360946745562,3,0.8197958710195232,97,203,0,0,0.3233333333333333,0.9884271621704102
111,0.001211360946745562,4,0.8129770313705534,97,203,0,0,0.3233333333333333,0.9774441719055176
112,0.001211360946745562,5,0.8061195527434158,97,203,0,0,0.3233333333333333,0.966461181640625
113,0.001211360946745562,6,0.7992230307164466,97,203,0,0,0.3233333333333333,0.9554780721664429
114,0.001211360946745562,7,0.7922872818857262,97,203,0,0,0.3233333333333333,0.9444950819015503
115,0.001211360946745562,8,0.7853118946929707,97,203,0,0,0.3233333333333333,0.9335120916366577
116,0.001211360946745562,9,0.7782966047226929,97,203,0,0,0.3233333333333333,0.9225292205810547
117,0.001211360946745562,10,0.7712408381901104,97,203,0,0,0.3233333333333333,0.9115461111068726
118,0.0013123076923076923,2,0.822188039893848,97,203,0,0,0.3233333333333333,0.9922949075698853
119,0.0013123076923076923,3,0.8195066757489947,97,203,0,0,0.3233333333333333,0.9879601001739502
120,0.0013123076923076923,4,0.812686125358452,97,203,0,0,0.3233333333333333,0.9769769906997681
121,0.0013123076923076923,5,0.8058269212166861,97,203,0,0,0.3233333333333333,0.9659938812255859
122,0.0013123076923076923,6,0.798928808884171,97,203,0,0,0.3233333333333333,0.9550108909606934
123,0.0013123076923076923,7,0.7919913808525761,97,203,0,0,0.3233333333333333,0.9440279006958008
124,0.0013123076923076923,8,0.7850143759879622,97,203,0,0,0.3233333333333333,0.9330450296401978
125,0.0013123076923076923,9,0.7779972255095914,97,203,0,0,0.3233333333333333,0.9220619201660156
126,0.0013123076923076923,10,0.770939735569137,97,203,0,0,0.3233333333333333,0.9110788106918335
127,0.0014132544378698225,2,0.8221837677864998,97,203,0,0,0.3233333333333333,0.9922879934310913
128,0.0014132544378698225,3,0.8192172634891461,97,203,0,0,0.3233333333333333,0.9874927997589111
129,0.0014132544378698225,4,0.812395149409143,97,203,0,0,0.3233333333333333,0.9765098094940186
130,0.0014132544378698225,5,0.8055343684763369,97,203,0,0,0.3233333333333333,0.965526819229126
131,0.0014132544378698225,6,0.7986345159154711,97,203,0,0,0.3233333333333333,0.9545437097549438
132,0.0014132544378698225,7,0.7916954080731055,97,203,0,0,0.3233333333333333,0.9435607194900513
133,0.0014132544378698225,8,0.7847165570644624,97,203,0,0,0.3233333333333333,0.9325776100158691
134,0.0014132544378698225,9,0.7776977732720471,97,203,0,0,0.3233333333333333,0.9215946197509766
135,0.0014132544378698225,10,0.7706386361322942,97,203,0,0,0.3233333333333333,0.910611629486084
136,0.0015142011834319525,2,0.822179495664013,97,203,0,0,0.3233333333333333,0.9922810792922974
137,0.0015142011834319525,3,0.8189278556774654,97,203,0,0,0.3233333333333333,0.9870256185531616
138,0.0015142011834319525,4,0.812104103497403,97,203,0,0,0.3233333333333333,0.976042628288269
139,0.0015142011834319525,5,0.8052415958212588,97,203,0,0,0.3233333333333333,0.9650595188140869
140,0.0015142011834319525,6,0.798340151784545,97,203,0,0,0.3233333333333333,0.9540765285491943
141,0.0015142011834319525,7,0.7913993635212166,97,203,0,0,0.3233333333333333,0.9430935382843018
142,0.0015142011834319525,8,0.7844188176425608,97,203,0,0,0.3233333333333333,0.9321104288101196
143,0.0015142011834319525,9,0.7773984008209945,97,203,0,0,0.3233333333333333,0.9211275577545166
144,0.0015142011834319525,10,0.7703374630500698,97,203,0,0,0.3233333333333333,0.9101444482803345
145,0.0016151479289940828,2,0.8221751498687092,97,203,0,0,0.3233333333333333,0.9922740459442139
146,0.0016151479289940828,3,0.8186383784681907,97,203,0,0,0.3233333333333333,0.9865584373474121
147,0.0016151479289940828,4,0.8118129875979961,97,203,0,0,0.3233333333333333,0.9755754470825195
148,0.0016151479289940828,5,0.8049488272596244,97,203,0,0,0.3233333333333333,0.9645923376083374
149,0.0016151479289940828,6,0.7980457164655783,97,203,0,0,0.3233333333333333,0.9536093473434448
150,0.0016151479289940828,7,0.7911031716024743,97,203,0,0,0.3233333333333333,0.9426262378692627
151,0.0016151479289940828,8,0.784121081805669,97,203,0,0,0.3233333333333333,0.9316433668136597
152,0.0016151479289940828,9,0.777098878929146,97,203,0,0,0.3233333333333333,0.9206603765487671
153,0.0016151479289940828,10,0.7700362162954412,97,203,0,0,0.3233333333333333,0.909677267074585
154,0.001716094674556213,2,0.8221708040577398,97,203,0,0,0.3233333333333333,0.9922670125961304
155,0.001716094674556213,3,0.8183488318363573,97,203,0,0,0.3233333333333333,0.9860912561416626
156,0.001716094674556213,4,0.8115218016856746,97,203,0,0,0.3233333333333333,0.97510826587677
157,0.001716094674556213,5,0.8046559880879998,97,203,0,0,0.3233333333333333,0.9641251564025879
158,0.001716094674556213,6,0.797751209932744,97,203,0,0,0.3233333333333333,0.9531421661376953
159,0.001716094674556213,7,0.7908069834090763,97,203,0,0,0.3233333333333333,0.9421590566635132
160,0.001716094674556213,8,0.7838231215242674,97,203,0,0,0.3233333333333333,0.9311760663986206
161,0.001716094674556213,9,0.7767992075138513,97,203,0,0,0.3233333333333333,0.920193076133728
162,0.001716094674556213,10,0.7697349727378522,97,203,0,0,0.3233333333333333,0.909210205078125
163,0.001817041420118343,2,0.822166531889314,97,203,0,0,0.3233333333333333,0.9922600984573364
164,0.001817041420118343,3,0.8180592157569889,97,203,0,0,0.3233333333333333,0.9856240749359131
165,0.001817041420118343,4,0.811230545735178,97,203,0,0,0.3233333333333333,0.9746410846710205
166,0.001817041420118343,5,0.8043631530308052,97,203,0,0,0.3233333333333333,0.9636580944061279
167,0.001817041420118343,6,0.7974566321602027,97,203,0,0,0.3233333333333333,0.9526749849319458
168,0.001817041420118343,7,0.7905107233648855,97,203,0,0,0.3233333333333333,0.9416918754577637
169,0.001817041420118343,8,0.7835251647750171,97,203,0,0,0.3233333333333333,0.9307088851928711
170,0.001817041420118343,9,0.7764994629671709,97,203,0,0,0.3233333333333333,0.919725775718689
171,0.001817041420118343,10,0.7694335785761108,97,203,0,0,0.3233333333333333,0.9087430238723755
172,0.0019179881656804733,2,0.8221621860472789,97,203,0,0,0.3233333333333333,0.9922530651092529
173,0.0019179881656804733,3,0.8177695302050972,97,203,0,0,0.3233333333333333,0.9851568937301636
174,0.0019179881656804733,4,0.8109390710296951,97,203,0,0,0.3233333333333333,0.9741736650466919
175,0.0019179881656804733,5,0.8040700978125769,97,203,0,0,0.3233333333333333,0.9631907939910889
176,0.0019179881656804733,6,0.7971619079282549,97,203,0,0,0.3233333333333333,0.9522076845169067
177,0.0019179881656804733,7,0.7902143914437538,97,203,0,0,0.3233333333333333,0.9412246942520142
178,0.0019179881656804733,8,0.7832270594739154,97,203,0,0,0.3233333333333333,0.930241584777832
179,0.0019179881656804733,9,0.7761997982492056,97,203,0,0,0.3233333333333333,0.919258713722229
180,0.0019179881656804733,10,0.7691319567925836,97,203,0,0,0.3233333333333333,0.9082756042480469
181,0.0020189349112426035,2,0.8221578401895779,97,203,0,0,0.3233333333333333,0.9922460317611694
182,0.0020189349112426035,3,0.8174797751556819,97,203,0,0,0.3233333333333333,0.9846897125244141
183,0.0020189349112426035,4,0.81064782361856,97,203,0,0,0.3233333333333333,0.9737067222595215
184,0.0020189349112426035,5,0.8037769718715999,97,203,0,0,0.3233333333333333,0.9627234935760498
185,0.0020189349112426035,6,0.7968671875805368,97,203,0,0,0.3233333333333333,0.9517405033111572
186,0.0020189349112426035,7,0.789917911977828,97,203,0,0,0.3233333333333333,0.9407573938369751
187,0.0020189349112426035,8,0.7829290337640675,97,203,0,0,0.3233333333333333,0.9297745227813721
188,0.0020189349112426035,9,0.7758999073967658,97,203,0,0,0.3233333333333333,0.9187914133071899
189,0.0020189349112426035,10,0.7700511134449293,97,201,0,-1,0.32550335570469796,0.9078084230422974
190,0.0021198816568047335,2,0.8221535679752124,97,203,0,0,0.3233333333333333,0.9922391176223755
191,0.0021198816568047335,3,0.8171898766211505,97,203,0,0,0.3233333333333333,0.984222412109375
192,0.0021198816568047335,4,0.8103562830203084,97,203,0,0,0.3233333333333333,0.9732394218444824
193,0.0021198816568047335,5,0.8034838499863678,97,203,0,0,0.3233333333333333,0.9622563123703003
194,0.0021198816568047335,6,0.7965724711457549,97,203,0,0,0.3233333333333333,0.9512734413146973
195,0.0021198816568047335,7,0.7896215875260579,97,203,0,0,0.3233333333333333,0.9402904510498047
196,0.0021198816568047335,8,0.7826308594494327,97,203,0,0,0.3233333333333333,0.9293073415756226
197,0.0021198816568047335,9,0.7762209062892549,97,202,0,-1,0.32441471571906355,0.9183245897293091
198,0.0021198816568047335,10,0.7728149737727128,97,196,0,-1,0.3310580204778157,0.9073413610458374
199,0.002220828402366864,2,0.8221492220864454,97,203,0,0,0.3233333333333333,0.992232084274292
200,0.002220828402366864,3,0.8168999824838888,97,203,0,0,0.3233333333333333,0.9837552309036255
201,0.002220828402366864,4,0.810064746646369,97,203,0,0,0.3233333333333333,0.9727722406387329
202,0.002220828402366864,5,0.8031906573632771,97,203,0,0,0.3233333333333333,0.9617891311645508
203,0.002220828402366864,6,0.79627753290729,97,203,0,0,0.3233333333333333,0.9508061408996582
204,0.002220828402366864,7,0.7893249641570433,97,203,0,0,0.3233333333333333,0.9398231506347656
205,0.002220828402366864,8,0.7823326125600462,97,203,0,0,0.3233333333333333,0.928840160369873
206,0.002220828402366864,9,0.7765413278947877,97,201,0,-1,0.32550335570469796,0.9178569316864014
207,0.002220828402366864,10,0.7818498330611893,97,181,0,-1,0.3489208633093525,0.9068740606307983
208,0.002321775147928994,2,0.8221449498415399,97,203,0,0,0.3233333333333333,0.992225170135498
209,0.002321775147928994,3,0.816610018774024,97,203,0,0,0.3233333333333333,0.983288049697876
210,0.002321775147928994,4,0.8097731401077657,97,203,0,0,0.3233333333333333,0.9723050594329834
211,0.002321775147928994,5,0.8028973191365081,97,203,0,0,0.3233333333333333,0.9613218307495117
212,0.002321775147928994,6,0.7959825985299699,97,203,0,0,0.3233333333333333,0.9503389596939087
213,0.002321775147928994,7,0.7890283444664141,97,203,0,0,0.3233333333333333,0.9393559694290161
214,0.002321775147928994,8,0.782034216938811,97,203,0,0,0.3233333333333333,0.928372859954834
215,0.002321775147928994,9,0.7787331273930319,97,197,0,-1,0.3299319727891156,0.9173898696899414
216,0.002321775147928994,10,0.7910981934198807,97,166,0,-1,0.3688212927756654,0.9064068794250488
217,0.002422721893491124,2,0.8221406039217063,97,203,0,0,0.3233333333333333,0.9922181367874146
218,0.002422721893491124,3,0.8163199854665072,97,203,0,0,0.3233333333333333,0.9828208684921265
219,0.002422721893491124,4,0.8094815378144354,97,203,0,0,0.3233333333333333,0.9718379974365234
220,0.002422721893491124,5,0.8026041346593431,97,203,0,0,0.3233333333333333,0.9608548879623413
221,0.002422721893491124,6,0.7956875927576367,97,203,0,0,0.3233333333333333,0.9498717784881592
222,0.002422721893491124,7,0.7887316527679135,97,203,0,0,0.3233333333333333,0.9388887882232666
223,0.002422721893491124,8,0.7817357486527354,97,203,0,0,0.3233333333333333,0.9279055595397949
224,0.002422721893491124,9,0.7828276860665782,97,190,0,-1,0.33797909407665505,0.9169226884841919
225,0.002422721893491124,10,0.8012288213758456,97,150,0,-1,0.39271255060728744,0.9059395790100098
226,0.0025236686390532545,2,0.8221363316462605,97,203,0,0,0.3233333333333333,0.9922112226486206
227,0.0025236686390532545,3,0.8160298085026577,97,203,0,0,0.3233333333333333,0.9823535680770874
228,0.0025236686390532545,4,0.8091897164352232,97,203,0,0,0.3233333333333333,0.9713706970214844
229,0.0025236686390532545,5,0.802310579934349,97,203,0,0,0.3233333333333333,0.9603874683380127
230,0.0025236686390532545,6,0.7953925155643633,97,203,0,0,0.3233333333333333,0.9494045972824097
231,0.0025236686390532545,7,0.7884348133017707,97,203,0,0,0.3233333333333333,0.9384214878082275
232,0.0025236686390532545,8,0.782698528820915,97,201,0,-1,0.32550335570469796,0.9274386167526245
233,0.0025236686390532545,9,0.7901705589286767,97,178,0,-1,0.3527272727272727,0.9164555072784424
234,0.0025236686390532545,10,0.8129825841245465,97,132,0,-1,0.42358078602620086,0.9054725170135498
235,0.0026246153846153845,2,0.8221319856953601,97,203,0,0,0.3233333333333333,0.9922041893005371
236,0.0026246153846153845,3,0.8157396359068692,97,203,0,0,0.3233333333333333,0.9818863868713379
237,0.0026246153846153845,4,0.8088978247794604,97,203,0,0,0.3233333333333333,0.9709033966064453
238,0.0026246153846153845,5,0.8020171040855275,97,203,0,0,0.3233333333333333,0.9599202871322632
239,0.0026246153846153845,6,0.7950972916028574,97,203,0,0,0.3233333333333333,0.9489372968673706
240,0.0026246153846153845,7,0.7881379774904504,97,203,0,0,0.3233333333333333,0.937954306602478
241,0.0026246153846153845,8,0.7830305407487067,97,200,0,-1,0.3265993265993266,0.9269713163375854
242,0.0026246153846153845,9,0.7976522440826531,97,166,0,-1,0.3688212927756654,0.9159884452819824
243,0.0026246153846153845,10,0.8279027489471419,97,110,0,-1,0.46859903381642515,0.9050053358078003
244,0.0027255621301775146,2,0.8221277133893738,97,203,0,0,0.3233333333333333,0.9921972751617432
245,0.0027255621301775146,3,0.8154494677073818,97,203,0,0,0.3233333333333333,0.9814193248748779
246,0.0027255621301775146,4,0.8086059373108163,97,203,0,0,0.3233333333333333,0.9704362154006958
247,0.0027255621301775146,5,0.8017236322831858,97,203,0,0,0.3233333333333333,0.9594532251358032
248,0.0027255621301775146,6,0.7948019961320332,97,203,0,0,0.3233333333333333,0.9484699964523315
249,0.0027255621301775146,7,0.7878409938222016,97,203,0,0,0.3233333333333333,0.937487006187439
250,0.0027255621301775146,8,0.7890979417997683,97,190,0,-1,0.33797909407665505,0.9265040159225464
251,0.0027255621301775146,9,0.8126981098982821,97,143,0,-1,0.4041666666666667,0.9155212640762329
252,0.0027255621301775146,10,0.8375544411868728,97,96,0,-1,0.5025906735751295,0.9045379161834717
253,0.002826508875739645,2,0.8219120159216066,97,203,0,0,0.3233333333333333,0.9918482303619385
254,0.002826508875739645,3,0.8151591557585331,97,203,0,0,0.3233333333333333,0.9809521436691284
255,0.002826508875739645,4,0.8083139795507145,97,203,0,0,0.3233333333333333,0.9699690341949463
256,0.002826508875739645,5,0.8014300146947142,97,203,0,0,0.3233333333333333,0.9589860439300537
257,0.002826508875739645,6,0.7945067798416018,97,203,0,0,0.3233333333333333,0.9480029344558716
258,0.002826508875739645,7,0.7901100545449795,97,199,0,-1,0.3277027027027027,0.937019944190979
259,0.002826508875739645,8,0.799191199561461,97,174,0,-1,0.35793357933579334,0.9260368347167969
260,0.002826508875739645,9,0.8283221479157014,97,120,0,-1,0.4470046082949309,0.9150540828704834
261,0.002826508875739645,10,0.8518994535593362,97,76,0,-1,0.5606936416184971,0.9040710926055908
262,0.002927455621301775,2,0.8216263489247675,97,203,0,0,0.3233333333333333,0.9913860559463501
263,0.002927455621301775,3,0.8148686999818511,97,203,0,0,0.3233333333333333,0.9804848432540894
264,0.002927455621301775,4,0.808021951473761,97,203,0,0,0.3233333333333333,0.9695018529891968
265,0.002927455621301775,5,0.8011363261888585,97,203,0,0,0.3233333333333333,0.9585188627243042
266,0.002927455621301775,6,0.7942114166867913,97,203,0,0,0.3233333333333333,0.9475357532501221
267,0.002927455621301775,7,0.7923918467833577,97,195,0,-1,0.3321917808219178,0.9365527629852295
268,0.002927455621301775,8,0.80752384440882,97,161,0,-1,0.375968992248062,0.9255696535110474
269,0.002927455621301775,9,0.8372684190679744,97,107,0,-1,0.47549019607843135,0.9145869016647339
270,0.002927455621301775,10,0.8575482727774507,97,68,0,-1,0.5878787878787879,0.9036035537719727
271,0.003028402366863905,2,0.8213407616546538,97,203,0,0,0.3233333333333333,0.9909241199493408
272,0.003028402366863905,3,0.8145782485439322,97,203,0,0,0.3233333333333333,0.9800176620483398
273,0.003028402366863905,4,0.8077297785116538,97,203,0,0,0.3233333333333333,0.9690345525741577
274,0.003028402366863905,5,0.8008424917731102,97,203,0,0,0.3233333333333333,0.9580515623092651
275,0.003028402366863905,6,0.7945662352187846,97,202,0,-1,0.32441471571906355,0.947068452835083
276,0.003028402366863905,7,0.7979552364860731,97,186,0,-1,0.34275618374558303,0.93608558177948
277,0.003028402366863905,8,0.8208658197581594,97,141,0,-1,0.40756302521008403,0.9251025915145874
278,0.003028402366863905,9,0.8478892106261661,97,92,0,-1,0.5132275132275133,0.9141194820404053
279,0.003028402366863905,10,0.8602103460798868,97,64,0,-1,0.6024844720496895,0.9031366109848022
280,0.0031293491124260355,2,0.8210550330135854,97,203,0,0,0.3233333333333333,0.990462064743042
281,0.0031293491124260355,3,0.8142877273326791,97,203,0,0,0.3233333333333333,0.9795504808425903
282,0.0031293491124260355,4,0.8074376842676609,97,203,0,0,0.3233333333333333,0.9685674905776978
283,0.0031293491124260355,5,0.8005486613372735,97,203,0,0,0.3233333333333333,0.9575843811035156
284,0.0031293491124260355,6,0.7942703202239785,97,202,0,-1,0.32441471571906355,0.946601390838623
285,0.0031293491124260355,7,0.807611306902883,97,171,0,-1,0.3619402985074627,0.9356182813644409
286,0.0031293491124260355,8,0.8360944234520671,97,119,0,-1,0.44907407407407407,0.9246352910995483
287,0.0031293491124260355,9,0.8603059612958183,97,75,0,-1,0.563953488372093,0.9136521816253662
